date,y
1/1/60,3277.847
4/1/60,3260.177
7/1/60,3276.133
10/1/60,3234.087
1/1/61,3255.914
4/1/61,3311.181
7/1/61,3374.742
10/1/61,3440.924
1/1/62,3502.298
4/1/62,3533.947
7/1/62,3577.362
10/1/62,3589.128
1/1/63,3628.306
4/1/63,3669.02
7/1/63,3749.681
10/1/63,3774.264
1/1/64,3853.835
4/1/64,3895.793
7/1/64,3956.657
10/1/64,3968.878
1/1/65,4064.915
4/1/65,4116.267
7/1/65,4207.782
10/1/65,4304.731
1/1/66,4409.518
4/1/66,4424.581
7/1/66,4462.053
10/1/66,4498.66
1/1/67,4538.498
4/1/67,4541.28
7/1/67,4584.246
10/1/67,4618.812
1/1/68,4713.013
4/1/68,4791.758
7/1/68,4828.892
10/1/68,4847.885
1/1/69,4923.76
4/1/69,4938.728
7/1/69,4971.349
10/1/69,4947.104
1/1/70,4939.759
4/1/70,4946.77
7/1/70,4992.357
10/1/70,4938.857
1/1/71,5072.996
4/1/71,5100.447
7/1/71,5142.422
10/1/71,5154.547
1/1/72,5249.337
4/1/72,5368.485
7/1/72,5419.184
10/1/72,5509.926
1/1/73,5646.286
4/1/73,5707.755
7/1/73,5677.738
10/1/73,5731.632
1/1/74,5682.353
4/1/74,5695.859
7/1/74,5642.025
10/1/74,5620.126
1/1/75,5551.713
4/1/75,5591.382
7/1/75,5687.087
10/1/75,5763.665
1/1/76,5893.276
4/1/76,5936.515
7/1/76,5969.089
10/1/76,6012.356
1/1/77,6083.391
4/1/77,6201.659
7/1/77,6313.559
10/1/77,6313.697
1/1/78,6333.848
4/1/78,6578.605
7/1/78,6644.754
10/1/78,6734.069
1/1/79,6746.176
4/1/79,6753.389
7/1/79,6803.558
10/1/79,6820.572
1/1/80,6842.024
4/1/80,6701.046
7/1/80,6693.082
10/1/80,6817.903
1/1/81,6951.495
4/1/81,6899.98
7/1/81,6982.609
10/1/81,6906.529
1/1/82,6799.233
4/1/82,6830.251
7/1/82,6804.139
10/1/82,6806.857
1/1/83,6896.561
4/1/83,7053.5
7/1/83,7194.504
10/1/83,7344.597
1/1/84,7488.167
4/1/84,7617.547
7/1/84,7690.985
10/1/84,7754.117
1/1/85,7829.26
4/1/85,7898.194
7/1/85,8018.809
10/1/85,8078.415
1/1/86,8153.829
4/1/86,8190.552
7/1/86,8268.935
10/1/86,8313.338
1/1/87,8375.274
4/1/87,8465.63
7/1/87,8539.075
10/1/87,8685.694
1/1/88,8730.569
4/1/88,8845.28
7/1/88,8897.107
10/1/88,9015.661
1/1/89,9107.314
4/1/89,9176.827
7/1/89,9244.816
10/1/89,9263.033
1/1/90,9364.259
4/1/90,9398.243
7/1/90,9404.494
10/1/90,9318.876
1/1/91,9275.276
4/1/91,9347.597
7/1/91,9394.834
10/1/91,9427.581
1/1/92,9540.444
4/1/92,9643.893
7/1/92,9739.185
10/1/92,9840.753
1/1/93,9857.185
4/1/93,9914.565
7/1/93,9961.873
10/1/93,10097.362
1/1/94,10195.338
4/1/94,10333.495
7/1/94,10393.898
10/1/94,10512.962
1/1/95,10550.251
4/1/95,10581.723
7/1/95,10671.738
10/1/95,10744.203
1/1/96,10824.674
4/1/96,11005.217
7/1/96,11103.935
10/1/96,11219.238
1/1/97,11291.665
4/1/97,11479.33
7/1/97,11622.911
10/1/97,11722.722
1/1/98,11839.876
4/1/98,11949.492
7/1/98,12099.191
10/1/98,12294.737
1/1/99,12410.778
4/1/99,12514.408
7/1/99,12679.977
10/1/99,12888.281
1/1/00,12935.252
4/1/00,13170.749
7/1/00,13183.89
10/1/00,13262.25
1/1/01,13219.251
4/1/01,13301.394
7/1/01,13248.142
10/1/01,13284.881
1/1/02,13394.91
4/1/02,13477.356
7/1/02,13531.741
10/1/02,13549.421
1/1/03,13619.434
4/1/03,13741.107
7/1/03,13970.157
10/1/03,14131.379
1/1/04,14212.34
4/1/04,14323.017
7/1/04,14457.832
10/1/04,14605.595
1/1/05,14767.846
4/1/05,14839.707
7/1/05,14956.291
10/1/05,15041.232
1/1/06,15244.088
4/1/06,15281.525
7/1/06,15304.517
10/1/06,15433.643
1/1/07,15478.956
4/1/07,15577.779
7/1/07,15671.605
10/1/07,15767.146
1/1/08,15702.906
4/1/08,15792.773
7/1/08,15709.562
10/1/08,15366.607
1/1/09,15187.475
4/1/09,15161.772
7/1/09,15216.647
10/1/09,15379.155
1/1/10,15456.059
4/1/10,15605.628
7/1/10,15726.282
10/1/10,15807.995
1/1/11,15769.911
4/1/11,15876.839
7/1/11,15870.684
10/1/11,16048.702
1/1/12,16179.968
4/1/12,16253.726
7/1/12,16282.151
10/1/12,16300.035
1/1/13,16441.485
4/1/13,16464.402
7/1/13,16594.743
10/1/13,16712.76
1/1/14,16654.247
4/1/14,16868.109
7/1/14,17064.616
10/1/14,17141.235
1/1/15,17280.647
4/1/15,17380.875
7/1/15,17437.08
10/1/15,17462.579
1/1/16,17565.465
4/1/16,17618.581
7/1/16,17724.489
10/1/16,17812.56
1/1/17,17889.094
4/1/17,17979.218
7/1/17,18127.994
10/1/17,18310.3
1/1/18,18437.127
4/1/18,18565.697
7/1/18,18699.748
10/1/18,18733.741
1/1/19,18835.411
4/1/19,18962.175
7/1/19,19130.932
10/1/19,19215.691
1/1/20,18989.877
4/1/20,17378.712
7/1/20,18743.72
10/1/20,18924.262
1/1/21,19216.224
4/1/21,19544.248
7/1/21,19672.594
10/1/21,20006.181
1/1/22,19924.088
4/1/22,19895.271
7/1/22,20054.663
10/1/22,20182.491